IBRA - Carteira do Dia 17/07/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;234.689.601;0,330;
TTEN3;3TENTOS;ON      NM;113.777.586;0,063;
ABCB4;ABC BRASIL;PN      N2;70.127.732;0,054;
AERI3;AERIS;ON      NM;227.070.796;0,012;
AESB3;AES BRASIL;ON      NM;315.209.392;0,161;
ALSO3;ALIANSCSONAE;ON      NM;532.365.440;0,563;
AALR3;ALLIAR;ON      NM;42.015.455;0,044;
ALPA4;ALPARGATAS;PN      N1;201.952.502;0,076;
ALUP11;ALUPAR;UNT     N2;145.652.351;0,180;
ABEV3;AMBEV S/A;ON;4.386.652.506;2,794;
AMBP3;AMBIPAR;ON      NM;43.853.759;0,040;
ANIM3;ANIMA;ON      NM;257.157.317;0,044;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,204;
ARML3;ARMAC;ON  EJ  NM;172.214.221;0,100;
ASAI3;ASSAI;ON      NM;1.190.824.431;0,647;
AURE3;AUREN;ON      NM;301.966.318;0,187;
AZUL4;AZUL;PN      N2;327.646.296;0,240;
B3SA3;B3;ON      NM;5.733.398.051;3,580;
BPAN4;BANCO PAN;PN      N1;341.549.703;0,136;
BRSR6;BANRISUL;PNB     N1;202.535.840;0,128;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,884;
BMOB3;BEMOBI TECH;ON      NM;83.735.218;0,048;
BLAU3;BLAU;ON      NM;29.837.192;0,025;
BOAS3;BOA VISTA;ON      NM;530.871.322;0,183;
BRPR3;BR PROPERT;ON;1.191.199;0,005;
BBDC3;BRADESCO;ON      N1;1.500.631.902;0,942;
BBDC4;BRADESCO;PN      N1;5.146.612.491;3,634;
BRAP4;BRADESPAR;PN      N1;251.008.334;0,248;
BBAS3;BRASIL;ON      NM;1.420.731.069;2,928;
AGRO3;BRASILAGRO;ON      NM;59.212.546;0,063;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,298;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,414;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,691;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,227;
CAML3;CAMIL;ON      NM;99.939.997;0,030;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,248;
CBAV3;CBA;ON      NM;191.350.000;0,038;
CCRO3;CCR SA;ON      NM;998.462.635;0,581;
CEAB3;CEA MODAS;ON      NM;105.355.935;0,022;
CMIG3;CEMIG;ON      N1;360.768.393;0,281;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,784;
CIEL3;CIELO;ON      NM;1.095.401.258;0,213;
CLSA3;CLEARSALE;ON      NM;52.773.048;0,013;
COGN3;COGNA ON;ON      NM;1.815.524.541;0,250;
CSMG3;COPASA;ON      NM;188.469.206;0,165;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,551;
CSAN3;COSAN;ON      NM;1.171.063.698;0,979;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,288;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,202;
CURY3;CURY S/A;ON      NM;120.291.325;0,083;
CVCB3;CVC BRASIL;ON      NM;442.634.342;0,058;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,259;
DASA3;DASA;ON      NM;264.672.973;0,129;
DXCO3;DEXCO;ON      NM;274.863.424;0,090;
PNVL3;DIMED;ON      NM;71.295.172;0,039;
DIRR3;DIRECIONAL;ON      NM;106.395.895;0,090;
ECOR3;ECORODOVIAS;ON      NM;310.103.685;0,088;
ELET3;ELETROBRAS;ON      N1;2.019.004.498;3,324;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,506;
EMBR3;EMBRAER;ON      NM;734.632.205;0,554;
ENAT3;ENAUTA PART;ON      NM;77.336.145;0,044;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,537;
ENEV3;ENEVA;ON      NM;1.577.877.205;0,829;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,494;
EQTL3;EQUATORIAL;ON      NM;1.115.920.673;1,585;
ESPA3;ESPACOLASER;ON      NM;238.938.124;0,014;
EVEN3;EVEN;ON      NM;198.894.330;0,059;
EZTC3;EZTEC;ON      NM;94.318.339;0,079;
FHER3;FER HERINGER;ON      NM;5.367.796;0,003;
FESA4;FERBASA;PN      N1;40.495.100;0,085;
FLRY3;FLEURY;ON      NM;422.811.447;0,280;
GFSA3;GAFISA;ON      NM;49.174.563;0,012;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,283;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,369;
GOLL4;GOL;PN      N2;218.221.868;0,094;
GGPS3;GPS;ON      NM;372.837.116;0,272;
GRND3;GRENDENE;ON      NM;268.057.292;0,084;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,152;
NTCO3;GRUPO NATURA;ON      NM;838.904.847;0,570;
SBFG3;GRUPO SBF;ON      NM;146.071.603;0,080;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,227;
GUAR3;GUARARAPES;ON      NM;81.934.660;0,025;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,772;
HBSA3;HIDROVIAS;ON      NM;760.109.566;0,112;
HYPE3;HYPERA;ON      NM;400.842.480;0,773;
IGTI11;IGUATEMI S.A;UNT     N1;215.741.055;0,200;
MEAL3;IMC S/A;ON      NM;263.096.332;0,028;
IFCM3;INFRACOMM;ON      NM;311.380.036;0,023;
INTB3;INTELBRAS;ON      NM;114.530.513;0,116;
MYPK3;IOCHP-MAXION;ON      NM;131.266.899;0,076;
RANI3;IRANI;ON      NM;102.079.065;0,043;
IRBR3;IRBBRASIL RE;ON      NM;81.445.253;0,180;
ITSA4;ITAUSA;PN      N1;5.233.076.295;2,178;
ITUB3;ITAUUNIBANCO;ON      N1;384.272.066;0,407;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.630.041;5,869;
JALL3;JALLESMACHAD;ON      NM;99.892.997;0,035;
JBSS3;JBS;ON      NM;1.134.986.483;0,932;
JHSF3;JHSF PART;ON      NM;299.019.330;0,068;
KEPL3;KEPLER WEBER;ON;178.635.204;0,071;
KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,649;
LAVV3;LAVVI;ON      NM;73.850.129;0,024;
RENT3;LOCALIZA;ON      NM;841.062.110;2,489;
LWSA3;LOCAWEB;ON      NM;430.758.874;0,145;
LOGG3;LOG COM PROP;ON      NM;59.529.517;0,056;
LOGN3;LOG-IN;ON      NM;25.678.035;0,054;
LREN3;LOJAS RENNER;ON      NM;950.702.967;0,733;
MDIA3;M.DIASBRANCO;ON      NM;69.291.942;0,127;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,366;
POMO4;MARCOPOLO;PN  EJ  N2;554.935.063;0,124;
MRFG3;MARFRIG;ON      NM;292.587.273;0,094;
MATD3;MATER DEI;ON      NM;81.005.456;0,035;
CASH3;MELIUZ;ON      NM;69.155.277;0,024;
