companhia;receitas;ativos;passivos;depreciacao;ganhosPorAcao
1750.0;;1442100000.0;;;1.37
1800.0;;41247000000.0;;871000000.0;2.94
2034.0;;540778000.0;236336000.0;1522000.0;1.19
2098.0;109812000.0;81421366.0;38237805.0;1318357.0;1.44
2178.0;1944279000.0;243215000.0;90705000.0;;
2186.0;;39449000.0;4629000.0;;0.08
2488.0;;3109000000.0;;94000000.0;-0.84
2969.0;;17438100000.0;10057000000.0;900400000.0;5.95
3116.0;;2112710000.0;1491145000.0;19900000.0;1.29
3146.0;1976400000.0;5290200000.0;;;3.16
3153.0;17489000000.0;78318000000.0;56175000000.0;;2.6
3197.0;;598819000.0;353798000.0;4200000.0;-0.19
3453.0;;1669800000.0;;76400000.0;2.37
3499.0;;1447808000.0;1094928000.0;;
3545.0;153119000.0;460580000.0;282981000.0;;1.96
3570.0;270885000.0;19019589000.0;;82680000.0;
4127.0;;3719400000.0;560200000.0;162300000.0;4.21
4187.0;;19434000.0;;2400000.0;-1.14
4281.0;;36528000000.0;22397000000.0;;-0.31
4447.0;6561000000.0;34195000000.0;13794000000.0;;-10.78
4457.0;3275656000.0;8150725000.0;5899319000.0;389393000.0;
4515.0;;48415000000.0;;;11.39
4904.0;16453200000.0;61683100000.0;43778200000.0;1674300000.0;4.17
4962.0;;161184000000.0;140511000000.0;;
4969.0;755000000.0;33285000000.0;31166000000.0;;
4977.0;20872000000.0;118296000000.0;100588000000.0;;5.88
5133.0;1900790000.0;1603449000.0;;50303000.0;
5272.0;58327000000.0;496943000000.0;406733000000.0;;1.69
5513.0;10731300000.0;60589700000.0;51925800000.0;;3.51
5768.0;;171229000.0;40106000.0;;-0.45
5981.0;;443539000.0;175213000.0;8953000.0;0.23
6176.0;;506156000.0;294733000.0;11787000.0;0.13
6201.0;;48415000000.0;;;11.39
6207.0;41664000.0;120628000.0;37784000.0;1561000.0;
6281.0;;7062178000.0;;130147000.0;
6284.0;540291000.0;627970000.0;;;2.7
6494.0;13234882.0;8710602.0;6168803.0;;0.05
6732.0;684274.0;140510.0;3825276.0;559.0;
6769.0;;18842000000.0;;;-61.2
6845.0;79517000.0;657440000.0;;29800000.0;2.25
6879.0;16453200000.0;61683100000.0;43778200000.0;1674300000.0;4.17
6885.0;;848099000.0;418346000.0;66998000.0;0.12
6951.0;;15308000000.0;7695000000.0;185000000.0;1.13
6955.0;;1636917000.0;963916000.0;;0.32
7039.0;;258811000.0;116426000.0;7177000.0;0.76
7084.0;67702000000.0;40157000000.0;;799000000.0;2.99
7286.0;;15028258000.0;;;3.94
7323.0;;44647681000.0;;;-0.99
7431.0;;2691900000.0;;;1.69
7536.0;;13021930000.0;;;5.26
7623.0;;31331608.0;12811742.0;929180.0;-0.14
7789.0;1004687000.0;27715021000.0;24777775000.0;33000000.0;1.2
8063.0;;609243000.0;309018000.0;13300000.0;2.63
8146.0;;77963000.0;10590000.0;1567000.0;0.62
8177.0;165937000.0;314603000.0;212111000.0;;
8192.0;5023000000.0;16326000000.0;;;1.29
8328.0;507474.0;8339362.0;24079012.0;1312585.0;
8504.0;;21834401.0;24367974.0;;
8670.0;11667800000.0;43670000000.0;39188400000.0;;3.27
8818.0;;4133700000.0;;125200000.0;3.01
8868.0;6160500000.0;3879500000.0;4935900000.0;94000000.0;-2.6
8947.0;;983371000.0;502155000.0;31200000.0;2.98
9092.0;;355480000.0;;9993000.0;
9326.0;552492000.0;881223000.0;417518000.0;12895000.0;1.92
9346.0;280275000.0;1085771000.0;691273000.0;;
9389.0;;9777000000.0;8515700000.0;247300000.0;2.05
9466.0;29447000000.0;95384000000.0;68062000000.0;2227000000.0;
9892.0;;4942900000.0;;62300000.0;1.8
9984.0;;2061866000.0;;39654000.0;2.21
10048.0;17533000.0;41553000.0;22291000.0;;0.15
10254.0;49390000.0;264944000.0;65071000.0;;-8.43
10329.0;;282543000.0;;;1.91
10456.0;;20975000000.0;;;1.78
10795.0;;26820000000.0;;417000000.0;3.43
11199.0;4071400000.0;3489800000.0;2282400000.0;144200000.0;2.47
11544.0;7206457000.0;21730967000.0;17097759000.0;45000000.0;4.06
12040.0;;54622000.0;;;
12208.0;;3711542000.0;1221039000.0;;3.87
12239.0;33000.0;13694000.0;4944000.0;1000.0;
12400.0;;1119493000.0;;;
12659.0;3038153000.0;2857775000.0;2834672000.0;115907000.0;1.5
12927.0;96114000000.0;94408000000.0;;;7.52
13156.0;;17971048.0;15520839.0;178850.0;
13239.0;4140000000.0;2382000000.0;4859000000.0;124000000.0;
13372.0;7954827000.0;30580309000.0;;665856000.0;2.77
13573.0;23124541.0;32062409.0;5088330.0;1254541.0;
14177.0;130448000.0;75302000.0;39657000.0;3050000.0;1.7
14195.0;494468000.0;1458962000.0;;48500000.0;1.0
14272.0;;31748000000.0;17324000000.0;500000000.0;0.94
14693.0;;4183000000.0;2621000000.0;;5.26
14707.0;100186000.0;1303323000.0;;35428000.0;1.86
14846.0;82497000.0;835879000.0;675705000.0;;-0.17
14930.0;;3152500000.0;;;2.6
15511.0;;79892000000.0;26563000000.0;;
15615.0;4208330000.0;2940197000.0;1996806000.0;;-0.98
15847.0;;42697000.0;16599000.0;;0.0
16040.0;2871000000.0;3075000000.0;;169000000.0;-5.27
16058.0;3744053000.0;3987341000.0;2380028000.0;23600000.0;5.89
16099.0;;264258000.0;89599000.0;500000.0;-0.07
16160.0;;1111765000.0;194404000.0;41400000.0;6.56
16732.0;;8089000000.0;6713000000.0;286000000.0;2.21
16918.0;;16965000000.0;10273200000.0;180300000.0;
17485.0;;62572000.0;28867000.0;;0.14
17797.0;;121156000000.0;;;4.05
17843.0;;2794300000.0;1689400000.0;106500000.0;0.23
18172.0;;497653000.0;;14207000.0;-8.91
18230.0;47011000000.0;78497000000.0;63612000000.0;2705000000.0;3.54
18255.0;1011091000.0;642344000.0;;;2.39
18349.0;;28792653000.0;25792457000.0;;1.63
18396.0;985494000.0;339097000.0;117854000.0;;-1.88
18498.0;;1541483000.0;584700000.0;76200000.0;4.13
18654.0;6098000000.0;23640000000.0;;;2.6
18672.0;;4323354000.0;2648513000.0;149579000.0;2.21
18926.0;17900000000.0;47604000000.0;;2836000000.0;1.58
19149.0;61285201.0;22926526.0;20912481.0;1654841.0;-0.11
19411.0;4597400000.0;2069060000.0;996940000.0;73400000.0;1.26
19446.0;;584031000.0;;10692000.0;1.16
19584.0;;852325000.0;339072000.0;32369000.0;6.54
19612.0;;9188797000.0;8172823000.0;;2.41
19617.0;93543000000.0;2351698000000.0;2104125000000.0;;6.05
19745.0;459244000.0;1068586000.0;;;2.73
19871.0;;30123137.0;3631721.0;1261446.0;
20212.0;0.0;2277444000.0;1660247000.0;53600000.0;3.75
20286.0;5142000000.0;18888000000.0;12461000000.0;36000000.0;3.87
20290.0;;121156000000.0;;;4.05
20520.0;5576000000.0;27084000000.0;;983000000.0;-0.29
20629.0;;309926000.0;;5643000.0;1.88
20639.0;;69634000.0;556000.0;48000.0;-0.11
20740.0;;1818456000.0;707991000.0;31075000.0;2.7
21076.0;;4518000000.0;4221000000.0;;5.01
21175.0;9101000000.0;55047000000.0;43291000000.0;;1.77
21344.0;;90093000000.0;;1735000000.0;1.69
21510.0;;968947000.0;;;3.09
21535.0;;345346000.0;;4200000.0;0.01
21665.0;16034000000.0;11958000000.0;12002000000.0;;1.53
22252.0;;922000.0;1570000.0;6000.0;-0.09
22356.0;;24604962000.0;22237544000.0;30100000.0;2.56
22444.0;;3372302000.0;2052952000.0;;1.22
22606.0;29447000000.0;95384000000.0;68062000000.0;2227000000.0;
22701.0;;87916230.0;;3212000.0;-1.11
22767.0;;6009328000.0;4271579000.0;;0.2
23082.0;7106000000.0;7736000000.0;;383000000.0;1.82
23111.0;369478000.0;163077000.0;45360000.0;;0.42
23194.0;;1195850000.0;1367108000.0;;
23197.0;;473877000.0;72468000.0;6525000.0;1.43
23217.0;1500000000.0;13390600000.0;9595800000.0;;-1.57
23426.0;7954827000.0;30580309000.0;;665856000.0;2.77
23632.0;12554000000.0;45642000000.0;;;4.07
23795.0;42997680.0;406016513.0;265628187.0;;1.44
24090.0;236268000.0;1484040000.0;1241523000.0;779000.0;
24104.0;;75755000.0;;;
24491.0;;2436176000.0;;;3.73
24545.0;;12276300000.0;5213200000.0;284500000.0;1.94
24741.0;;28547000000.0;9684000000.0;1130000000.0;1.02
25232.0;381643000.0;2597803000.0;914388000.0;;
25445.0;;3341600000.0;;39100000.0;3.94
25475.0;1241520000.0;783406000.0;;17715000.0;
25598.0;;12055000000.0;10132000000.0;;
25743.0;;73728846.0;;29959.0;
25895.0;;52415000.0;;;0.68
26058.0;;484133000.0;202479000.0;;0.21
26076.0;;1300276000.0;;;0.85
26172.0;;15134000000.0;7384000000.0;419000000.0;7.86
26324.0;;3029378000.0;1773955000.0;64700000.0;3.12
26780.0;;4326000000.0;3495000000.0;158000000.0;1.0
27093.0;25182000.0;5751000.0;2859000.0;;
27419.0;;40262000000.0;;;5.35
27430.0;;3340800000.0;;;
27673.0;1951700000.0;34652800000.0;30903000000.0;;
27879.0;5023000000.0;16326000000.0;;;1.29
27904.0;40704000000.0;53134000000.0;;;5.68
27996.0;1772817000.0;1844402000.0;;16000000.0;4.39
28385.0;10337000000.0;28737000000.0;;740000000.0;4.05
28412.0;;71877000000.0;64317000000.0;;2.93
28823.0;;2249300000.0;;40700000.0;1.13
28917.0;6754545000.0;3865625000.0;;;6.91
29002.0;;1601030000.0;758033000.0;71504000.0;0.5
29332.0;;298218000.0;207414000.0;13525000.0;-0.16
29534.0;;11257885000.0;;350600000.0;3.96
29644.0;;1809534000.0;1030883000.0;66900000.0;1.51
29669.0;;7279300000.0;6582700000.0;331500000.0;0.73
29905.0;;8619763000.0;;167516000.0;5.52
29915.0;0.0;68026000000.0;;1908000000.0;6.45
29952.0;;16500608.0;5013215.0;53174.0;-0.07
29989.0;15134400000.0;22110700000.0;;181800000.0;4.43
30305.0;;561420000.0;374089000.0;15700000.0;-6.63
30371.0;;121156000000.0;;;4.05
30554.0;;41166000000.0;30966000000.0;1104000000.0;2.17
30625.0;0.0;5103850000.0;;99501000.0;2.01
30697.0;1870297000.0;4108720000.0;3355806000.0;;0.5
30831.0;;24516000.0;;1026000.0;-0.01
31107.0;;121738559.0;;3460516.0;0.92
31347.0;38804000.0;38046000.0;;;
31462.0;;18641700000.0;11661300000.0;559500000.0;3.38
31667.0;;49695000.0;36465500.0;;0.52
31791.0;2262359000.0;4166295000.0;2055854000.0;33400000.0;1.89
31978.0;;3233852000.0;;;2.03
32166.0;175333000.0;284577000.0;63078000.0;55931000.0;0.2
32604.0;;22088000000.0;;507000000.0;4.01
32621.0;;59888000.0;2658000.0;47000.0;-0.04
32689.0;;2455303000.0;;;
33002.0;;392188000.0;93642000.0;11327000.0;1.39
33185.0;;4509000000.0;2158600000.0;75700000.0;3.61
33213.0;;13976172000.0;5948130000.0;;0.56
33488.0;155542000.0;143737000.0;47257000.0;;0.82
33769.0;1338827000.0;800374000.0;;79450000.0;1.14
33992.0;64175734.0;149129750.0;103852522.0;556295.0;0.95
34067.0;;182866000.0;64445000.0;6244000.0;-1.72
34088.0;259488000000.0;336758000000.0;159948000000.0;;3.85
34115.0;;2213555000.0;;;
34285.0;;11924.0;65898.0;;
34782.0;;5187916000.0;4543863000.0;;2.17
34903.0;744012000.0;4911709000.0;2992462000.0;;3.04
35214.0;;1225351000.0;901070000.0;36200000.0;0.74
35527.0;;141082000000.0;125212000000.0;;2.03
36029.0;;6665070000.0;5860084000.0;9125000.0;1.55
